filename,title,artist,genre,min_hz,max_hz_raw,max_hz_p98
도경수 (D.O.)_Guitarist.mp3,Guitarist,도경수 (D.O.),Dance,109.19143935804391,974.33020993578,622.9523361547151
로제 (ROSÉ)_toxic till the end.mp3,toxic till the end,로제 (ROSÉ),Rock,82.07488182141267,574.4860168723736,497.47585987362385
리도어 (Redoor)_영원은 그렇듯.mp3,영원은 그렇듯,리도어 (Redoor),Indie,124.20486709867299,834.3982567269588,656.5804254946919
릴러말즈 (Leellamarz)_Trip (Feat. Hannah).mp3,Trip (Feat. Hannah),릴러말즈 (Leellamarz),Rap,119.94772048600672,887.2968626382378,522.1232149827707
백예린 (Yerin Baek)_Antifreeze.mp3,Antifreeze,백예린 (Yerin Baek),Ballad,164.06180943213434,829.5722550250211,524.5328611973958
베스티_연애의 조건 (Love Options).mp3,연애의 조건 (Love Options),베스티,Dance,209.94565198878942,792.6373101137019,696.8120661081554
빈첸_FLYING HIGH WITH U.mp3,FLYING HIGH WITH U,빈첸,Rap,69.52199636024167,372.0589684767534,279.3985182983089
소녀시대-효리수 (Girls' Generation-HRS)_Skibidi.mp3,Skibidi,소녀시대-효리수 (Girls' Generation-HRS),Dance,133.96204170765512,924.3211096899499,524.1550214848344
소연 (SOYEON)_퇴사할게여 (Narr. 기안84).mp3,퇴사할게여 (Narr. 기안84),소연 (SOYEON),Rock,165.71382079109472,1042.6385839854286,656.4258162670452
아이유 (IU)_Dear my crazy soulmate.mp3,Dear my crazy soulmate,아이유 (IU),Soul,223.02278437214522,528.4539309454883,469.01579234802523
아이유 (IU)_이 별로부터.mp3,이 별로부터,아이유 (IU),Rock,192.3817145459229,936.6695731269573,781.8950395543284
아일릿(ILLIT)_It's Me.mp3,It's Me,아일릿(ILLIT),Dance,207.2495509627275,938.9553747398612,555.2951440937012
아일릿(ILLIT)_Magnetic.mp3,Magnetic,아일릿(ILLIT),Dance,183.76231607712998,701.0488965676843,465.5734984850771
양홍원_ROSE (Feat. Skinny Brown & Homeboy).mp3,ROSE (Feat. Skinny Brown & Homeboy),양홍원,Rap,113.95312568920451,623.3107257848819,415.09845084751265
에픽하이 (EPIK HIGH)_Love Love Love (Feat. Yoong Jin of Casker)).mp3,Love Love Love (Feat. Yoong Jin of Casker)),에픽하이 (EPIK HIGH),Rap,122.3789444943985,593.895495067874,490.8509358201762
엔하이픈 (ENHYPEN)_Bloody Paradise.mp3,Bloody Paradise,엔하이픈 (ENHYPEN),Dance,115.4649141306816,700.2859566003655,412.0278284458116
제니 (JENNIE)_FALLEN ANGEL.mp3,FALLEN ANGEL,제니 (JENNIE),Pop,130.512417458572,744.0283175424352,440.9101716494208
제니 (JENNIE)_Less than a Lover.mp3,Less than a Lover,제니 (JENNIE),Soul,205.65485022750605,944.5492616146515,495.59336701050404
한로로_0＋0.mp3,0＋0,한로로,Rock,206.482788758758,661.3610507187773,444.7633371491818
한로로_사랑하게 될 거야.mp3,사랑하게 될 거야,한로로,Rock,192.75338321838578,789.885204252763,525.9109785710442
